Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
INSIDE / LIMBO Double Pack,XOne,2017,Platform,505 Games,0.03,0,0,0,0.03
Stardew Valley,XOne,2017,Simulation,505 Games,0.02,0,0,0,0.03
Zero Escape: Zero Time Dilemma,PS4,2017,Adventure,Aksys Games,0.02,0,0,0,0.03
Rime,XOne,2017,Adventure,Grey Box,0.02,0,0,0,0.03
The Lost Child,PS4,2017,Action,Kadokawa Games,0.01,0,0.01,0,0.03
The Pillars of the Earth,PS4,2017,Adventure,Kalypso Media,0.02,0,0,0.01,0.03
Blackguards 2,PS4,2017,Strategy,Kalypso Media,0.02,0,0,0.01,0.03
The Pillars of the Earth,XOne,2017,Adventure,Kalypso Media,0.02,0,0,0,0.03
Troll and I,PS4,2017,Action,Maximum Games,0.02,0,0,0.01,0.03
Road Rage,PS4,2017,Racing,Maximum Games,0.02,0,0,0.01,0.03
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,PS4,2017,Fighting,Namco Bandai Games,0,0,0.03,0,0.03
Coven and Labyrinth of Refrain,PS4,2017,Action,Nippon Ichi Software,0.01,0,0.01,0,0.03
ClaDun Sengoku,PS4,2017,Action,NIS America,0.02,0,0,0,0.03
Touhou Kobuto V: Burst Battle,PS4,2017,Shooter,NIS America,0.02,0,0,0,0.03
Ben 10 (2017),XOne,2017,Action,Outright Games,0.02,0,0,0,0.03
AereA,PS4,2017,Role-Playing,Soedesco,0.02,0,0,0,0.03
The Girl and the Robot,PS4,2017,Misc,Soedesco,0.02,0,0,0,0.03
Ao no Kanata no Four Rhythm,PS4,2017,Visual Novel,Sprite,0,0,0.03,0,0.03
Romance of the Three Kingdoms 13 with Power-Up Kit,PS4,2017,Misc,Tecmo Koei,0,0,0.03,0,0.03
Winning Post 8 2017,PS4,2017,Misc,Tecmo Koei,0,0,0.03,0,0.03
Baja: Edge of Control HD,PS4,2017,Racing,THQ Nordic,0.02,0,0,0.01,0.03
Black Mirror,XOne,2017,Adventure,THQ Nordic,0.03,0,0,0,0.03
Raiden V,PS4,2017,Action,UFO Interactive,0.02,0,0,0.01,0.03
The Town of Light,PS4,2017,Adventure,Wired Productions,0.02,0,0,0.01,0.03
Geometry Wars 3: Dimensions Evolved,PS4,2016,Action,Activision,0.02,0,0,0.01,0.03
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,0,0.02,0,0,0.03
OlliOlli: Epic Combo Edition,PS4,2016,Platform,Badland Studio,0.02,0,0,0.01,0.03
Dragon's Dogma Online: Season 2,PS4,2016,Action,Capcom,0,0,0.03,0,0.03
Warhammer: The End Times - Vermintide,XOne,2016,Action,Games Workshop,0.03,0,0,0,0.03
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games,0,0,0.03,0,0.03
Crows: Burning Edge,PS4,2016,Action,Namco Bandai Games,0,0,0.03,0,0.03
Tumblestone,PS4,2016,Puzzle,Nighthawk Interactive,0.02,0,0,0.01,0.03
Shin Hayarigami 2,PS4,2016,Adventure,Nippon Ichi Software,0,0,0.03,0,0.03
Root Letter,PS4,2016,Visual Novel,PQube,0,0,0.03,0,0.03
WRC 6,XOne,2016,Racing,PQube,0.03,0,0,0,0.03
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.02,0.01,0,0,0.03
Dynasty Warriors: Eiketsuden,PS4,2016,Strategy,Tecmo Koei,0,0,0.03,0,0.03
Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei,0,0,0.03,0,0.03
The Dwarves,PS4,2016,Role-Playing,THQ Nordic,0.03,0,0,0.01,0.03
We Sing (2016),PS4,2016,Music,THQ Nordic,0.02,0,0,0.01,0.03
Super Dungeon Bros,PS4,2016,Action,Wired Productions,0.02,0,0,0.01,0.03
Koihime Enbu,PS4,2016,Fighting,Yeti,0,0,0.03,0,0.03
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Platform,Activision,0,0.03,0,0,0.03
MotoGP 15,XOne,2015,Racing,Milestone S.r.l.,0,0.03,0,0,0.03
Blade Arcus from Shining EX,PS4,2015,Fighting,Sega,0,0,0.03,0,0.03
Omega Quintet,PS4,2014,Role-Playing,Compile Heart,0,0,0.02,0,0.03
Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,0,0.03,0,0,0.03
Redout,PS4,2017,Racing,505 Games,0.02,0,0,0,0.02
ABZU,XOne,2017,Adventure,505 Games,0.02,0,0,0,0.02
Redout,XOne,2017,Racing,505 Games,0.02,0,0,0,0.02
Portal Knights,XOne,2017,Role-Playing,505 Games,0.02,0,0,0,0.02
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PS4,2017,Visual Novel,5pb,0,0,0.02,0,0.02
FlatOut 4: Total Insanity,PS4,2017,Racing,Bigben Interactive,0.01,0,0,0,0.02
Resident Evil: Revelations,XOne,2017,Action,Capcom,0.02,0,0,0,0.02
Mega Man Legacy Collection 2,XOne,2017,Action,Capcom,0.02,0,0,0,0.02
Genkai Tokki: Castle Panzers,PS4,2017,Role-Playing,Compile Heart,0,0,0.02,0,0.02
Omega Labyrinth Z,PS4,2017,Role-Playing,D3Publisher,0,0,0.02,0,0.02
Le Tour de France 2017,XOne,2017,Simulation,Focus Home Interactive,0,0.01,0,0,0.02
Big Buck Hunter Arcade,XOne,2017,Shooter,GameMill,0.02,0,0,0,0.02
The Inner World: The Last Wind Monk,PS4,2017,Puzzle,Kalypso Media,0.02,0,0,0,0.02
Dungeons 3,XOne,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02
Blackguards 2,XOne,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02
Vikings: Wolves of Midgard,XOne,2017,Action,Kalypso Media,0.01,0,0,0,0.02
The Inner World: The Last Wind Monk,XOne,2017,Puzzle,Kalypso Media,0.01,0,0,0,0.02
ArmaGallant: Decks of Destiny,PS4,2017,Strategy,Maximum Games,0.02,0,0,0,0.02
Troll and I,XOne,2017,Action,Maximum Games,0.02,0,0,0,0.02
Syberia III,XOne,2017,Adventure,Microids,0.02,0,0,0,0.02
Superbeat: Xonic,PS4,2017,Music,PM Studios,0.02,0,0,0,0.02
White Day,PS4,2017,Action,PQube,0,0.01,0.01,0,0.02
Rogue Trooper: Redux,PS4,2017,Shooter,Rebellion,0.01,0,0,0,0.02
Rogue Trooper: Redux,XOne,2017,Shooter,Rebellion,0.02,0,0,0,0.02
Tricky Towers,PS4,2017,Puzzle,Soedesco,0.02,0,0,0,0.02
Pharaonic,PS4,2017,Action,Soedesco,0.01,0,0,0,0.02
Pharaonic,XOne,2017,Action,Soedesco,0.02,0,0,0,0.02
PaRappa the Rapper Remastered,PS4,2017,Music,Sony Interactive Entertainment,0,0,0.02,0,0.02
No Heroes Allowed! VR,PS4,2017,Strategy,Sony Interactive Entertainment,0,0,0.02,0,0.02
Patapon Remastered,PS4,2017,Music,Sony Interactive Entertainment,0,0,0.02,0,0.02
Lost Sphear,PS4,2017,Role-Playing,Square Enix,0,0,0.02,0,0.02
This Is The Police,PS4,2017,Simulation,THQ Nordic,0.01,0,0,0,0.02
Lock's Quest,XOne,2017,Strategy,THQ Nordic,0.01,0,0,0,0.02
Rugby League Live 4,XOne,2017,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02
Assetto Corsa,XOne,2016,Racing,505 Games,0,0.01,0,0,0.02
Geometry Wars 3: Dimensions Evolved,XOne,2016,Action,Activision,0.02,0,0,0,0.02
Skullgirls: 2nd Encore,PS4,2016,Fighting,Arc System Works,0,0,0.02,0,0.02
Resident Evil: Value Pack,PS4,2016,Action-Adventure,Capcom,0,0,0.02,0,0.02
Monster Hunter Frontier Z: Beginner's Package,PS4,2016,Action,Capcom,0,0,0.02,0,0.02
Big Buck Hunter Arcade,PS4,2016,Shooter,GameMill Entertainment,0.02,0,0,0,0.02
Republique,PS4,2016,Action-Adventure,Gunho Online Entertainment,0,0.01,0.01,0,0.02
Prison Architect,XOne,2016,Simulation,Introversion Software,0.02,0,0,0,0.02
Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,0.02,0,0,0,0.02
Tropico 5,XOne,2016,Simulation,Kalypso Media,0.02,0,0,0,0.02
Touhou Shinhiroku: Urban Legend in Limbo,PS4,2016,Fighting,Mediascape,0,0,0.02,0,0.02
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016,Action,Namco Bandai Games,0,0,0.02,0,0.02
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,2016,Action,Namco Bandai Games,0,0,0.02,0,0.02
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,PS4,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02
Moto Racer 4,XOne,2016,Racing,PQube,0.02,0,0,0,0.02
Earth's Dawn,PS4,2016,Action,Rising Star Games,0.02,0,0,0,0.02
SteamWorld Collection,PS4,2016,Misc,Rising Star Games,0.02,0,0,0,0.02
Super Stardust Ultra VR,PS4,2016,Shooter,Sony Interactive Entertainment,0,0.02,0,0,0.02
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.02,0,0,0,0.02
Worms: WMD,XOne,2016,Strategy,Team17 Digital Ltd,0.02,0,0,0,0.02
The Dwarves,XOne,2016,Role-Playing,THQ Nordic,0.02,0,0,0,0.02
Rugby World Cup 2015,XOne,2015,Sports,Big Ben Interactive,0,0.02,0,0,0.02
WRC 5: FIA World Rally Championship,XOne,2015,Racing,Bigben Interactive,0,0.01,0,0,0.02
Natsuiro High School: Seishun Hakusho,PS4,2015,Action,D3Publisher,0,0,0.02,0,0.02
Saints Row: Gat out of Hell,XOne,2015,Action,Deep Silver,0,0.02,0,0,0.02
Space Hulk: Deathwing,PS4,2015,Shooter,Focus Home Interactive,0,0.01,0,0,0.02
Professional Farmer 2016,PS4,2015,Action,Namco Bandai Games,0,0.02,0,0,0.02
Chaos;Child,PS4,2015,Visual Novel,PQube,0,0,0.02,0,0.02
Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,0,0.02,0,0,0.02
Back to the Future: The Game,XOne,2015,Adventure,Telltale Games,0,0.02,0,0,0.02
Rugby League Live 3,PS4,2015,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02
The Crew: Wild Run,XOne,2015,Racing,Ubisoft,0,0.02,0,0,0.02
Psycho-Pass,XOne,2014,Visual Novel,5pb,0,0,0.02,0,0.02
Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,0.01,0,0,0.02
New Game! The Challenge Stage!,PS4,2017,Adventure,5pb,0,0,0.01,0,0.01
Occultic;Nine,PS4,2017,Adventure,5pb,0,0,0.01,0,0.01
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PS4,2017,Adventure,5pb,0,0,0.01,0,0.01
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,PS4,2017,Adventure,5pb,0,0,0.01,0,0.01
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PS4,2017,Adventure,5pb,0,0,0.01,0,0.01
Chaos;Child: Love Chu Chu!!,PS4,2017,Visual Novel,5pb,0,0,0.01,0,0.01
Akiba's Trip 2+A,PS4,2017,Adventure,Acquire,0,0,0.01,0,0.01
Hyper Light Drifter,PS4,2017,Role-Playing,Active Gaming Media,0,0,0.01,0,0.01
DJ Max Respect,PS4,2017,Misc,Arc System Works,0,0,0.01,0,0.01
FlatOut 4: Total Insanity,XOne,2017,Racing,Bigben Interactive,0.01,0,0,0,0.01
Dragon's Dogma Online: Season 3,PS4,2017,Role-Playing,Capcom,0,0,0.01,0,0.01
Date-A-Live Twin Edition: Rio Reincarnation,PS4,2017,Adventure,Compile Heart,0,0,0.01,0,0.01
Let It Die,PS4,2017,Action,GungHo,0,0.01,0.01,0,0.01
Darius Burst: Chronicle Saviours,PS4,2017,Action,Kadokawa Games,0,0,0.01,0,0.01
Valhalla Hills,PS4,2017,Strategy,Kalypso Media,0.01,0,0,0,0.01
Shadow Tactics: Blades of the Shogun,XOne,2017,Strategy,Kalypso Media,0.01,0,0,0,0.01
Summer Lesson: Miyamoto Hikari Collection,PS4,2017,Adventure,Namco Bandai Games,0,0,0.01,0,0.01
One Piece: Unlimited World Red,PS4,2017,Action,Namco Bandai Games,0,0,0.01,0,0.01
ATV Renegades,PS4,2017,Racing,Nighthawk Interactive,0.01,0,0,0,0.01
ATV Renegades,XOne,2017,Racing,Nighthawk Interactive,0,0,0,0,0.01
Hakoniwa Company Works,PS4,2017,Strategy,Nippon Ichi Software,0,0,0.01,0,0.01
LocoRoco Remastered,PS4,2017,Platform,Sony Interactive Entertainment,0,0,0.01,0,0.01
Torment: Tides of Numenera,PS4,2017,Role-Playing,Techland,0.01,0,0,0,0.01
Torment: Tides of Numenera,XOne,2017,Role-Playing,Techland,0.01,0,0,0,0.01
Lock's Quest,PS4,2017,Strategy,THQ Nordic,0.01,0,0,0,0.01
The Town of Light,XOne,2017,Adventure,THQ Nordic,0.01,0,0,0,0.01
This Is The Police,XOne,2017,Simulation,THQ Nordic,0,0,0,0,0.01
This War of Mine,XOne,2016,Action,11 bit studios,0,0.01,0,0,0.01
Rugby Challenge 3,XOne,2016,Sports,Alternative Software,0,0.01,0,0,0.01
Goat Simulator,XOne,2016,Simulation,Koch Media,0,0.01,0,0,0.01
Battle Garegga Rev.2016,PS4,2016,Strategy,M2,0,0,0.01,0,0.01
Sébastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,0,0.01,0,0,0.01
Battle Worlds: Kronos,PS4,2016,Strategy,Nordic Games,0.01,0,0,0,0.01
Battle Worlds: Kronos,XOne,2016,Strategy,Nordic Games,0.01,0,0,0,0.01
Moto Racer 4,PS4,2016,Racing,PQube,0.01,0,0,0,0.01
Zombie Vikings,PS4,2016,Action,Rising Star Games,0,0.01,0,0,0.01
Ziggurat,PS4,2016,Shooter,Soedesco,0,0.01,0,0,0.01
Ziggurat,XOne,2016,Shooter,Soedesco,0,0.01,0,0,0.01
Super Meat Boy,PS4,2016,Platform,Team Meat,0,0,0,0,0.01
The Escapists: The Walking Dead,PS4,2016,Action,Team17 Software,0,0,0,0,0.01
Assassin's Creed Chronicles,XOne,2016,Action,Ubisoft,0,0.01,0,0,0.01
ZombiU,XOne,2016,Action,Ubisoft,0,0.01,0,0,0.01
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment,0,0.01,0,0,0.01
ScreamRide,XOne,2015,Simulation,Microsoft Studios,0,0.01,0,0,0.01
Woodcutter Simulator 2016,PS4,2015,Action,Namco Bandai Games,0,0.01,0,0,0.01
Gal Gun: Double Peace,PS4,2015,Action,PQube,0,0,0.01,0,0.01
Deception IV: Blood Ties,PS4,2015,Action,Tecmo Koei,0,0,0.01,0,0.01
Raven's Cry,PS4,2015,Role-Playing,TopWare Interactive,0,0.01,0,0,0.01
Rugby League Live 3,XOne,2015,Sports,Tru Blu Entertainment,0,0.01,0,0,0.01
Teslagrad,PS4,2014,Platform,Rain Games,0,0.01,0,0,0.01
Rabbids Invasion: The Interactive TV Show,XOne,2014,Misc,Ubisoft,0,0.01,0,0,0.01
